搜索词,ID,项目名称,造价(百万),项目阶段,省份,城市,公布时间,区域,建面(㎡),行业分类,纬度,经度
污水,1167046,万州江南（密溪沟）污水处理厂项目 (重庆水务环境控股集团有限公司) v.2,300.0,文件草议,重庆,万州区,2022-09-05,华西区,,公用事业设施,30.7136179,108.3926525
污水,1512983,临颍县颍东污水处理厂项目 (临颍县人民政府国有资产监督管理委员会),100.0,构思,河南省,漯河市,2022-09-04,华北区,,公用事业设施,33.688056,113.913056
污水,1512330,无极经济开发区西区污水处理厂及配套管网工程（河北无极经济开发区管理委员会）,90.0,设计,河北省,石家庄市,2022-09-04,华北区,,公用事业设施,38.0429742,114.5088385
污水,1500714,赤城县污水处理厂提标改造工程（赤城县水务局） v.2,50.0,设计,河北省,张家口市,2022-09-04,华北区,,公用事业设施,40.8171433,114.8782861
污水,1395204,东城南污水处理厂提标改造项目(EPC+F) (东营津膜环保科技有限公司) v.2,160.0,主体工程中标/开工,山东省,东营市,2022-09-04,华东区,,公用事业设施,37.4334738,118.6689349
污水,1288316,筠连县农村生活污水综合治理工程（一期）(EPC) (筠连县恒新环保工程有限责任公司) v.3,128.07,主体工程中标/开工,四川省,宜宾市,2022-09-02,华西区,,公用事业设施,28.58689,104.718661
污水,1547159,恩平市2023-2025年农村污水治理项目 (恩平市城市管理和综合执法局),200.0,构思,广东省,江门市,2022-09-02,华南区,,公用事业设施,22.5816619,113.0761073
污水,1549431,灵宝市第一污水处理厂尾水湿地建设工程项目 (三门峡市生态环境局灵宝分局),100.0,构思,河南省,三门峡市,2022-09-02,华北区,,公用事业设施,34.4228647,111.0489969
污水,1551060,潢川县乡镇污水处理工程 (河南省光州生态建设投资有限公司),500.0,构思,河南省,信阳市,2022-09-02,华北区,,公用事业设施,32.075,114.853333
污水,1200340,葛沽PPP营房道西侧市政景观及附属设施工程、葛沽PPP营房道东侧污水泵站工程 (中建方程(天津)城市建设发展有限公司)v.2,100.0,主体工程中标/开工,天津,津南区,2022-09-01,华北区,34004.0,停车场/公用事业设施/基础建设/文娱康乐,38.9899774,117.3802441
污水,1031121,中新天津生态城北部片区雨水、污水、外排合建泵站工程 (天津生态城市政景观有限公司) v.2,200.0,主体工程中标/开工,天津,滨海新区,2022-09-01,华北区,,公用事业设施/基础建设,39.0148619,117.6888233
污水,778263,苍溪县百利新区污水处理厂及污水管网建设 (苍溪县城市管网事务中心) v.3,38.73,主体工程中标/开工,四川省,广元市,2022-09-01,华西区,,公用事业设施/基础建设,32.2685578,105.8395358
污水,1550449,水东水质净化厂工程 (赣州市污水处理有限公司),179.0,构思,江西省,赣州市,2022-09-01,华南区,,公用事业设施,25.703866,115.348216
污水,1549058,陆良县城镇生活污水设施建设项目(陆良县住房和城乡建设局),580.0,构思,云南省,曲靖市,2022-09-01,华西区,,公用事业设施/基础建设,25.4936418,103.7943084
污水,1501345,污水处理厂改造提升工程(广平县污水处理厂 ),106.37,文件草议,河北省,邯郸市,2022-08-31,华北区,,公用事业设施,36.6107711,114.4857072
